r,r_dB,eta,M,gamma,sigma,var_exact,rate_per_mode,shots_resolve,fit_slope,fit_R2
0.0,0.0,1.0,1,1.0,1.0,0.13333333333333333,1.0986122886681098,119.99999999999997,-1.0878273782130827,0.9997965359468859
0.0,0.0,1.0,2,1.0,1.0,0.0711111111111111,1.0986122886681098,63.99999999999998,-1.0878273782130827,0.9997965359468859
0.0,0.0,1.0,4,1.0,1.0,0.010745679012345678,1.0986122886681098,9.671111111111108,-1.0878273782130827,0.9997965359468859
0.0,0.0,1.0,8,1.0,1.0,0.00014985579027587258,1.0986122886681098,0.1348702112482853,-1.0878273782130827,0.9997965359468859
0.0,0.0,1.0,16,1.0,1.0,2.3224019525418772e-08,1.0986122886681098,2.090161757287689e-05,-1.0878273782130827,0.9997965359468859
0.0,0.0,1.0,32,1.0,1.0,5.39659484785756e-16,1.0986122886681098,4.856935363071804e-13,-1.0878273782130827,0.9997965359468859
0.0,0.0,1.0,50,1.0,1.0,1.3929555690872794e-24,1.0986122886681098,1.2536600121785511e-21,-1.0878273782130827,0.9997965359468859
0.0,0.0,0.9,1,0.9,1.0,0.13182384353696303,1.0520670771351037,118.64145918326669,-1.0403819310642897,0.9997517088728872
0.0,0.0,0.9,2,0.9,1.0,0.07469224030614598,1.0520670771351037,67.22301627553136,-1.0403819310642897,0.9997517088728872
0.0,0.0,0.9,4,0.9,1.0,0.012638688824913816,1.0520670771351037,11.374819942422432,-1.0403819310642897,0.9997517088728872
0.0,0.0,0.9,8,0.9,1.0,0.0002161912314292895,1.0520670771351037,0.1945721082863605,-1.0403819310642897,0.9997517088728872
0.0,0.0,0.9,16,0.9,1.0,4.889542641081098e-08,1.0520670771351037,4.400588376972987e-05,-1.0403819310642897,0.9997517088728872
0.0,0.0,0.9,32,0.9,1.0,2.3931958965479556e-15,1.0520670771351037,2.1538763068931598e-12,-1.0403819310642897,0.9997517088728872
0.0,0.0,0.9,50,0.9,1.0,1.427755002122386e-23,1.0520670771351037,1.2849795019101472e-20,-1.0403819310642897,0.9997517088728872
0.0,0.0,0.7,1,0.7,1.0,0.12609157734391935,0.9435348245161899,113.48241960952738,-0.9293661300741519,0.9995981759126353
0.0,0.0,0.7,2,0.7,1.0,0.08226307395282466,0.9435348245161899,74.03676655754218,-0.9293661300741519,0.9995981759126353
0.0,0.0,0.7,4,0.7,1.0,0.018160990891960785,0.9435348245161899,16.344891802764703,-0.9293661300741519,0.9995981759126353
0.0,0.0,0.7,8,0.7,1.0,0.0005040163754768827,0.9435348245161899,0.4536147379291943,-0.9293661300741519,0.9995981759126353
0.0,0.0,0.7,16,0.7,1.0,2.772174410521408e-07,0.9435348245161899,0.0002494956969469267,-0.9293661300741519,0.9995981759126353
0.0,0.0,0.7,32,0.7,1.0,7.71428102563807e-14,0.9435348245161899,6.942852923074261e-11,-0.9293661300741519,0.9995981759126353
0.0,0.0,0.7,50,0.7,1.0,3.246396863388284e-21,0.9435348245161899,2.921757177049455e-18,-0.9293661300741519,0.9995981759126353
0.0,0.0,0.5,1,0.5,1.0,0.11388026216662461,0.8047189562170501,102.49223594996214,-0.786354292220109,0.999225563367441
0.0,0.0,0.5,2,0.5,1.0,0.0888888888888889,0.8047189562170501,80.0,-0.786354292220109,0.999225563367441
