r,eta,negativity,Ek,Ek2,rate_per_mode,var_M2,var_M10,var_M50,classically_hard,sigma_data
0.5,0.3,2.6899162263928097e-15,0.7526341082093897,0.6286938317545427,0.4641108947522057,0.07438115407878731,0.006245435377501201,8.309720398495571e-11,0,0.8
0.5,0.4,2.2463603473579258e-15,0.6987032654909662,0.5678497417104866,0.5658984344997642,0.08412751133965518,0.0027171812265967205,5.145705203085786e-13,0,0.8
0.5,0.5,6.012397013071035e-16,0.648099817087129,0.513443710026722,0.6666148758233832,0.08719640900922263,0.0011023553320019925,3.3467475599917776e-15,0,0.8
0.5,0.6,0.01116000581266877,0.5966669436984178,0.45916657167567976,0.7783422335001211,0.08408979392136809,0.0003838771289079325,1.254618977213289e-17,1,0.8
0.5,0.7,0.03848426960263018,0.5399729727840186,0.3995391392867134,0.9174435478944877,0.07461798579812862,9.921513808114448e-05,1.1966480072302087e-20,1,0.8
0.5,0.8,0.07885499513290785,0.47184164130641365,0.3291069398271443,1.1113725359651605,0.058745241903388756,1.4607143708587539e-05,7.359562759772243e-25,1,0.8
0.5,0.9,0.13459348384213815,0.38162755377485735,0.24392699499975373,1.4108862992791125,0.038289488772444716,7.414659308680291e-07,2.306711503839988e-31,1,0.8
0.5,1.0,0.21331946747719976,0.2477786412151894,0.15423101917777593,1.869303676100284,0.020017952724398633,7.615069950614219e-09,2.5620430528941305e-41,1,0.8
1.0,0.3,0.0,0.7176560765150832,0.5889457329558292,0.5294212337757961,0.08160092396837598,0.003707378049241661,3.1858987136904446e-12,0,0.8
1.0,0.4,0.0,0.6495202115525133,0.5169858881775145,0.6597397004409891,0.0892946229220846,0.0011853252202631897,4.719736083311262e-15,0,0.8
1.0,0.5,5.963540027744123e-19,0.5872243022152148,0.45600188074067605,0.7852583450449493,0.08902834417556146,0.00036497355885438274,8.878330800690484e-18,0,0.8
1.0,0.6,0.00448820529924538,0.5280322022970934,0.40102332101588967,0.9137356962197721,0.08308022315924153,0.00010473198932847911,1.4403945024205707e-20,1,0.8
1.0,0.7,0.016644740373500215,0.46911919618151837,0.34792222438572584,1.0557763173304433,0.07261782801928873,2.5724443922496944e-05,1.1860651981713532e-23,1,0.8
1.0,0.8,0.03958972473898167,0.4060120363504695,0.29123503904654474,1.2336246435021447,0.0576437188743988,4.3748965917261955e-06,1.62997607326361e-27,1,0.8
1.0,0.9,0.08768052158031776,0.32652586018066143,0.2182835129644861,1.5219605429486127,0.036280051579293274,2.4539942147424975e-07,8.934016004712397e-34,1,0.8
1.0,1.0,0.2283659833056376,0.16286975630481199,0.09568264761490664,2.346718317602187,0.008451510800800786,6.431772522959252e-11,1.100675258236907e-51,1,0.8
0.3,0.3,1.4923787679119132e-16,0.7721087416579164,0.6515286944681165,0.4284338396908677,0.06909254117707198,0.008112915666876526,4.915081547482757e-10,0,0.8
0.3,0.4,1.1917672879483692e-16,0.7230688013992959,0.5935065766787688,0.5217069838164405,0.07890042497716832,0.003897063426689524,4.6828439479862075e-12,0,0.8
0.3,0.5,6.901437699438185e-15,0.6745956328254485,0.5379218732460735,0.6200419463800974,0.08226280171045408,0.0016476273238261111,3.43446237272754e-14,0,0.8
0.3,0.6,0.013905185880189953,0.6224513442265625,0.478967475868412,0.7361225839424814,0.07929569114332591,0.0005591921733382422,1.0358345656606991e-16,1,0.8
0.3,0.7,0.046558362380268906,0.5627298907897129,0.4129490091301218,0.8844311582194587,0.07025020625711638,0.00013406056911320836,6.234773369137287e-20,1,0.8
0.3,0.8,0.09170698081791726,0.49110518090147237,0.33848231027800946,1.0832834471445238,0.05640040842773966,1.907454883700949e-05,2.997773453397321e-24,1,0.8
0.3,0.9,0.14687476307304387,0.40206219950405986,0.2584856633443687,1.3529150475218865,0.04068281847157527,1.319385740899595e-06,4.1862293557121366e-30,1,0.8
0.3,1.0,0.21301774871066287,0.2878540584347577,0.18567388046788919,1.6837634749702586,0.027609017089588468,4.868240901255578e-08,2.7386762747713825e-37,1,0.8
